,Filename,Predictions,Ground Truth,Prediction Correctness
0,Bed/120cm Bed with underbed drawer.jpg,Sofa,Bed,False
1,Bed/140 cm double bed.jpg,Sofa,Bed,False
2,Bed/160 cm kingsize bed.jpg,Sofa,Bed,False
3,Bed/180 cm super kingsize bed.jpg,Chair,Bed,False
4,Bed/90cm Bed with underbed drawer.jpg,Sofa,Bed,False
5,Bed/ALBI BED.jpg,Sofa,Bed,False
6,Bed/Addison King Bed.jpg,Sofa,Bed,False
7,Bed/Aidan Bed-Heavy Pebble Pewter-Queen.jpg,Sofa,Bed,False
8,Bed/Aidan Bed-Vintage Tobacco-King.jpg,Bed,Bed,True
9,Bed/Aidan King Bed-Pebble Pewter.jpg,Sofa,Bed,False
10,Bed/Aiden Velvet Bed.jpg,Bed,Bed,True
11,Bed/Alexander Queen Bed.jpg,Chair,Bed,False
12,Bed/Alina Full Platform Bed Frame.jpg,Bed,Bed,True
13,Bed/Alina Queen Platform Bed Frame.jpg,Sofa,Bed,False
14,Bed/Alina Twin Platform Bed Frame.jpg,Sofa,Bed,False
15,Bed/Amaris Full Fabric Platform Bed with Round Splayed Legs.jpg,Bed,Bed,True
16,Bed/Amaris King Fabric Platform Bed with Squared Tapered Legs.jpg,Bed,Bed,True
17,Bed/Amaris Queen Fabric Platform Bed with Round Splayed Legs.jpg,Sofa,Bed,False
18,Bed/Amaris Queen Fabric Platform Bed with Squared Tapered Legs in Gray _ Modway.jpg,Bed,Bed,True
19,Bed/Amaris Queen Fabric Platform Bed with Squared Tapered Legs.jpg,Bed,Bed,True
20,Bed/Amaris Twin Fabric Platform Bed with Round Splayed Legs.jpg,Bed,Bed,True
21,Bed/Amaris Twin Fabric Platform Bed with Squared Tapered Legs.jpg,Bed,Bed,True
22,Bed/Amelia Full Upholstered Fabric Bed.jpg,Bed,Bed,True
23,Bed/Amelia King Performance Velvet Bed.jpg,Bed,Bed,True
24,Bed/Amelia King Upholstered Fabric Bed.jpg,Sofa,Bed,False
25,Bed/Amelia Queen Faux Leather Bed.jpg,Bed,Bed,True
26,Bed/Amelia Queen Upholstered Bed.jpg,Bed,Bed,True
27,Bed/Amelia Queen Upholstered Fabric Bed.jpg,Bed,Bed,True
28,Bed/Amelia Twin Faux Leather Bed.jpg,Sofa,Bed,False
29,Bed/Amelia Twin Performance Velvet Bed.jpg,Bed,Bed,True
30,Bed/Amelie Bed King Black.jpg,Bed,Bed,True
31,Bed/Amelie Bed King White.jpg,Sofa,Bed,False
